head	rel	tail
Unreal	GETTING_FROM	r-LDlo6zndFbVUx0ukhMDx8Q
u-OXLbpZSZiOLPry6rsA2YVQ	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
u-AirTVnJxFaNsU5M3baZXQQ	FINISH	r-BNPGJj8Ao9wiGJU2Grqdtw
r-dWk_YkzguQVfSEBetOPUTw	LOOKED_LIKE	r-Hb09_FIWLdMDpRBXeUHVuQ
u-idbqvka5fMTOjD68z4WRyQ	GETTING_FROM	u-O0evs8847ecEkeFMEuK4PA
Vegetable_Biryani	REMINDED	r-EHiVHkvMk5bbbbQDPWNtNg
r-ZcHu6mD9B00NSIJXTLbRXA	VISITED_ON	r-T9NHVkcY-_NTdQi5tRX9Ng
u-k-wA4IGgPBsrljO0ZnCeug	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
u-S14MK30NQdqgrO7ygTCQlA	GETTING_FROM	u-O0evs8847ecEkeFMEuK4PA
u-6zQLsnswBeHov55HmUWhrA	VISITED_ON	r-p-x-VxraLXjyrE-A_AgoIA
r-0TBvI95T0EP6IeBVYOW7Cw	REMINDED	r-Gql69g11OYdZiIaguVi2gQ
u-quis0L_iyN20UqaICzVhuQ	FINISH	Consistent
Rajiv	FINISH	r-GjeXqbgKDmKq9gn45RmubA
Messy	VISITED_ON	r-rMlElxVn8D5ZYa6z6GSv6A
Chili_Sauce	CATAPULTS_TO	Food
u-eeHkL577GLoekAV9TsTTkA	REMINDED	u-xhsMa1qTepw6gpGF_nsXkA
u-Kp41QyEY4z9q48VdRPtdEg	REMINDED	r-5q93lSCxDezoAdiFC-dG6Q
r-ZqYkngd7axE6g11SNR408Q	GETTING_FROM	b-qcqDjeirxvdgW5kQVkEwSA
r-xZ9ooYGr37uSskMEFoCdqg	CONVINCED_WITH	r-oebbd3cDn7LaU_pNXgc3Mw
r-YkLlyo61muyLpIRr3R-nFA	FINISH	r-ggO86ZQGYGY-SwZHaoyydA
u-iRQ_YKpCBdaCwvc2X8_3NQ	SERVED_ON	u-olilkogLmuKWp00F_8Au3g
r-GKFB6p6eCf7U_WadqgcO6w	FINISH	r-INPxAjbcigWkT12ZcN8p3A
u-9TYp9WZYgOmDV9gU3-vHOg	GETTING_FROM	r-46GrMV8DVHOaFONU5AYHBw
u-9IYbdwYtxIWEgqMHwII6dQ	VISITED_ON	u-AvC5XQAElcGAAn_Wr5auEg
u-P_U0iA3axKQ-K4qTCs-Hkw	GETTING_FROM	Medu_Wada
r-VKuxE-N_DJvmy9Vw2rTyCw	LOOKED_LIKE	u-laaC_7aQ5mWm6BNSfHJ8fA
u-PTA9-r1rmcFx0dZGdKCfhQ	FINISH	r-83vSjKFrgfUSxvYfFpDUcQ
r-UnGTo_QWIKqYsnqPtp4Lpg	REMEMBER_FROM	u-U5YQX_vMl_xQy8EQDqlNQQ
u-W7igKTvhP1eS2WwUhrBNOg	REMINDED	Bartender
r-vePa5JxPlusAuuPLwCXwEQ	GETTING_FROM	r-3TgtF4SvYdchMA39otX34w
r-WUEbphPebULmf63rJR1DLA	FINISH	u-Or61vB9q9CnY0r4dmeOYXw
Tandoori_Roti	VISITED_ON	r-46GrMV8DVHOaFONU5AYHBw
u-X9sQEge15Ud_UyEoIk-l3A	PICKED	u-LyjEBN-9r5BLStzwBgIfXg
Masala_Tea	GETTING_FROM	u-pXZu2slCZS3BbFyG_UCG5Q
u-r3-LjnU8ABaDcbc7pHbj0w	SERVED_ON	u-AvC5XQAElcGAAn_Wr5auEg
u-DpLsquKdybS2SJKSVvQYEw	GETTING_FROM	r-IsX2uIp6D1fpI5jQ6nv7RQ
r-EHSo3-r6g9mvhQRpRyFwIA	GETTING_FROM	Food
r-ath40sbOWE7Cd2iBAQG1bw	VISITED_ON	u-4OY8QfPV1LR3ggNN4P51OA
Decor	FINISH	Stale
Boneless_Lamb	REMEMBER_FROM	u-LyjEBN-9r5BLStzwBgIfXg
r-paZyOrIm5iHe4t9MhowKhQ	FINISH	r-9ZBAPCv1oHvaPdcZzuzLUg
r-3TgtF4SvYdchMA39otX34w	REMINDED	u-RnkKZIKmP9adWDkntv_uaA
u-7jw2VAbnGkr0GF6evuvViQ	SERVED_ON	u-eeHkL577GLoekAV9TsTTkA
Tandoori_Roti	REMEMBER_FROM	u-dQm7mXUyHfKBmUj0aQMSnQ
u-jqp5BEMzEUIWTCt6pezS2Q	REMINDED	r-ydKYI2DMo6HaTbXnSDrdSQ
r-Xm1-ItlaQUxyB67Inf1BLg	GETTING_FROM	r-6iYuO2eDWIIPbT21k1cLxQ
r-wiVDNBQB7rfNmsw347fPrA	PICKED	u-z4SLb3j6NK9Otb0u7XKqdA
r-3TgtF4SvYdchMA39otX34w	PICKED	u-Na7xuGDsbPUdtGp8fIzJsw
Shrimp_Pekoras	REMINDED	u-M4LkknfZPebvUfzWUrNYBw
r-LBMH067jwhB6opyW1rpauA	REMINDED	u-CvUWPa1LyVk-RyQC6dQ4gg
r-NArR6sp5zbM0VxpCGHnRnQ	VISITED_ON	r-o7cYgVoPYaLrJV9au86F5A
u-J56C7Dc9E7Q0mpMTJGW6Qw	VISITED_ON	u-tRmW0n2d_Q4c_TXqfUSINA
r-v6dMPM4i3IUxNQjSm3pY0A	GETTING_FROM	u-jqp5BEMzEUIWTCt6pezS2Q
u-lMJh6j4Ve2WsD3jFrOb4mg	GETTING_FROM	u-eeHkL577GLoekAV9TsTTkA
r-5qVSoUjnXYGUjnL3MRU3sA	GETTING_FROM	u-BUezGOiuNFE10oQn4uKS8Q
u-DGXRru3Mj6Sox6qWY2SJuQ	FINISH	u-MzAKIZCxozTibNPDjwvqig
u-ckIQDdwuyDkVk_GRsRy46w	REMINDED	r-Ve_1F06WlOFfdBotQWy51g
u-tRmW0n2d_Q4c_TXqfUSINA	REMINDED	r-tFNxJy0s7gwaLGjz9mOfSA
u-7jL3l2fLoMIYPCBqhByagw	LOOKED_LIKE	r-ktXvtaMdkaWSdWvHrVDHHA
u-l5_g5z9eOeXEMhA2x2lIog	REMINDED	u-N4x8kk4Z4OaamaejWXtDbw
Quiet	REMINDED	r-gZETuECaeLZNNQ3Qo8lzjQ
u-X12ACTgVYCp9nkLVeq-59g	DROVE_FROM	Chick_Tikka_Masala
Wine_Bars	FINISH	r-74xam6JGDFlFXaxxUeJ1KQ
u-xX2d5O4VNdaoLh0tbY8J-w	CHICKEN	u-IgjjNyJt8l_SKcl0KPYgVA
r-6iYuO2eDWIIPbT21k1cLxQ	CHICKEN	u-WBsqfXYQm6F2T0eMpCdaEA
r-TheLm_4DzTXfh5DkcMvc4A	GETTING_FROM	u-h7jpFoGLgBtCUHpSt6QOrA
u-iPnYS3RRQ3rkh03Wrcl8Ww	VISITED_ON	u-2K50D1mnCCO1sLcsABEQlw
r-oD_Rgy-OIB22U5D7tMbS7g	VISITED_ON	r-LDlo6zndFbVUx0ukhMDx8Q
r-nWULDQaeQQYo6meLdQHjDg	PICKED	u-4oTUo9_a4pxKstYc6aV8FA
u-tIbL7mV0a0aOSg8ks4asnw	FINISH	r-d2jpvQ7XZKLyatk8hBOcAQ
r-VOl3Xvl--GjzkdvJ2Bd9Tg	PICKED	r-dpUC2X2B24cmx277Yg29XA
u-qtD07rN0iL9E0pjOvLwAMQ	FINISH	r-1OAiLoLDd2-EpB_AkSsqXA
r-wfShVw7XIrddl3Y3yEPiSg	GETTING_FROM	u-olilkogLmuKWp00F_8Au3g
u-CJ87IhdgyCWvnwDPU29zvg	FINISH	u-kXufUeBbx4fZDXYRrG0uoA
Dal	GETTING_FROM	r-IsX2uIp6D1fpI5jQ6nv7RQ
u-pmeGrUv6S22pf38FTRYCzg	REMINDED	r-pHPdUfWlgZxOR1nKuXU8bQ
r-hnOsRdNWvFdTv3z9DoK89g	GETTING_FROM	r-JmaIRCVHRZZMkpacl6J2ng
u-SQSHdmBKa6O8GwVnQoq8sg	REMEMBER_FROM	u-LyjEBN-9r5BLStzwBgIfXg
r-wnHZKjrglm_65dFULTYNyg	REMINDED	r-BUdnrHjZL65llZ6_KAfguw
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	Payasam
u-DheU-KOyNyyOSGIHPMAutw	GETTING_FROM	u-5SAuwOC7FX6dnlmgts_EoA
Drab	FINISH	u-EFddU8cj_WTKTBFgdatFBA
u-VDsO7_0AOpC9y6P_X6f2ew	FINISH	r-gW8ndpImZtG7YJqWYQeY0w
r-XrIGPT_Uy-8Y89E1XrbCQg	LOOKED_LIKE	u-Ri3cu8XTnyA83pyJrzTMvw
r-X9hI5aCuVxPsMCwbnn6X0w	FINISH	r-lRF3Yar--f9LoPkobr2qYg
Mushy	FINISH	u-zvXz3SSLD7EtaKYPAzhEPg
u-2K50D1mnCCO1sLcsABEQlw	REMINDED	r-Ua-QL5CWQtYbKCMkNiILAg
r-nhVESK1aZbzpQ4aJG4s7Bw	VISITED_ON	r-GQXZ_jZTd1Qwdj7opaYQyQ
r-4Q_7bhk_AHDBuGnzniosBA	CATAPULTS_TO	u-eeHkL577GLoekAV9TsTTkA
u-P7EV3yrn1PLHDBX6rF6qIg	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
u-rR177wis4wxhd2Asqv_EpQ	VISITED_ON	r-rMlElxVn8D5ZYa6z6GSv6A
u-jXdnU8ONRIHVzhmDBvlmOQ	GETTING_FROM	u-jqp5BEMzEUIWTCt6pezS2Q
r-3TgtF4SvYdchMA39otX34w	REMINDED	r-MER6pKHtQI-xiqQ798z6Rw
u-SS3pK8z82S-SNHryfppwOA	CATAPULTS_TO	r-0-stf0NJOCI4SvVG86gqYQ
u--d2daWmftYumOaYpbD5D8Q	SERVED_ON	b-qcqDjeirxvdgW5kQVkEwSA
r-tDLlSdF_MNdN7IyvwXxTSQ	GETTING_FROM	r-LDlo6zndFbVUx0ukhMDx8Q
Imported_Food	FINISH	u-nOherNG9vm7B7RnpiwzHLw
u-BdGKpSyEOAP1-ajNmArEHA	GETTING_FROM	r-LBMH067jwhB6opyW1rpauA
r-T9NHVkcY-_NTdQi5tRX9Ng	PICKED	u-dQm7mXUyHfKBmUj0aQMSnQ
r-OVhbly7MKLUyuGcd-PJYmw	GETTING_FROM	r-AZQ21cTR4a4kc7hZZV_IEQ
r-81GeI3LIiDCT57WnWx31SA	VISITED_ON	u-ddPkNUNPtp-aaqjUgsTxBQ
u-0LUt7xSvYgLpL0zBezI5QA	REMINDED	r-cqy1ChFLqCcWWH6OH2a-mA
Porridge	REMINDED	r-BH7Sf8XdwpFyD0tkfiHwtA
u-2c0R5c7lCLq81N9hH70FAA	VISITED_ON	Buffets
Yellow_Daal	FINISH	u-AN0Qmf5UTKrwgn8C3-eGhg
u-Oxe8DXjBOi6C-cR2w64zOg	VISITED_ON	r-XtMXDKsDQZlOVhxwOxTCBg
r-gxySo0jwOL_Uy6wi7grABA	VISITED_ON	u-5SAuwOC7FX6dnlmgts_EoA
r-286WxNrQsUg32J9OJrxYBw	REMINDED	r-UoUqoBG6CnyGe1Gt2aYugQ
r-l0S9Rl64RlL9ZGjm_0S5LQ	GETTING_FROM	Payasam
u-dzC95g6MT4ErmcKbiu6oTg	GETTING_FROM	r-pB-eC9cvGuI-SqhLO625YQ
r-VKuxE-N_DJvmy9Vw2rTyCw	PICKED	u-0x06Uz53mB1MMUlG27B2tg
u-r3-LjnU8ABaDcbc7pHbj0w	SERVED_ON	u-Kp41QyEY4z9q48VdRPtdEg
u-RqN74rVpzQOXMPPy9bzHYw	GETTING_FROM	u-jqp5BEMzEUIWTCt6pezS2Q
r-1Tu2inyycLlr-jxNLtBaZQ	REMEMBER_FROM	u-GqLTKz0YsSkX-DTc9oHrBg
r-hUL9h6VbLdlbA0i8GP9MmA	DROVE_FROM	r-7dgRrxVs4iVKdxd8uvMu0Q
r-zerZabI-xjJAbX5YhrbIdA	PICKED	u-ckBI6eKWCL-OwT_MAwwZiA
r-o-AJBQ0eSJuBDR4vpjyKuQ	VISITED_ON	r-XtMXDKsDQZlOVhxwOxTCBg
r-aFPjqclPBIiTkyW1bYAjOA	PICKED	u-AI-cHKgAEdBDYFmV7AV29g
u-hQN3gBvAYXM-bW3hjHy3jw	GETTING_FROM	r-VKuxE-N_DJvmy9Vw2rTyCw
r-5kFwRijQNVKqEBScBgViWg	DROVE_FROM	u-HftGlY0aSWl0MYWY8JYCdg
u-5wRmF-iwnwDOYLuwVuJcZQ	FINISH	r-t53ZIYNn-zUe6koiuZszTQ
r-5Bqhd5QtwVTV981B6mU9oA	FINISH	u-9U2aSoK0inWHPDsP0rrOjA
r-LZ_z6QFoSajBKy2390gkhQ	VISITED_ON	r-JckCEB5nmwsYAe8_0lhtCA
u-el_htC_XghnnC0WzYXWNzQ	VISITED_ON	r-JmaIRCVHRZZMkpacl6J2ng
u-qu3wygQS8UV3PqI1tOcVhg	VISITED_ON	u-pXZu2slCZS3BbFyG_UCG5Q
Wrap_Bread	FINISH	r-7TEsJdKENPw2MuHGN9-nAg
u-tRmW0n2d_Q4c_TXqfUSINA	REMINDED	r-3ELV5TTRzDrLTO3HT7xGmQ
Meetha_Paan	REMINDED	r-34KYC7VFvPOwK6uKKcI6xw
u-7jL3l2fLoMIYPCBqhByagw	REMINDED	u-cfnq8BufKtd0YYCuCXzwKw
u-S9F2a5MxI22ke1LX7JnIxg	PICKED	u-jZ0qO1Vv9Iszz0MPGWzm6Q
r-7BEYqR-rrGUMRvVhf7fa1Q	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
u-oidxkygM87Wg7STVTb6faw	GETTING_FROM	r-46GrMV8DVHOaFONU5AYHBw
Curry_Beef	GETTING_FROM	u-4OY8QfPV1LR3ggNN4P51OA
u--lEb2KihxZAcr7BZ_1vWnA	VISITED_ON	u-2K50D1mnCCO1sLcsABEQlw
u-jqp5BEMzEUIWTCt6pezS2Q	REMINDED	r-Pd-dqGTqR6xwCp0fhRFpEw
r-6OyAbasuJ_P01TRM-L6vkw	GETTING_FROM	u-X9sQEge15Ud_UyEoIk-l3A
r-et5lp-Fh2n7ifxllGr0ijA	VISITED_ON	r-nWULDQaeQQYo6meLdQHjDg
r-2M4wxNvly82y5uV4VxUFqA	VISITED_ON	u-W7igKTvhP1eS2WwUhrBNOg
u-5SAuwOC7FX6dnlmgts_EoA	REMINDED	r-R4GtuzeyDq8nSfwSKa7EPg
r-j3LumSrsgPBWdS67zf_n2w	CATAPULTS_TO	r-zerZabI-xjJAbX5YhrbIdA
r-OVhbly7MKLUyuGcd-PJYmw	FINISH	u-bnYeFVApkSzjOpCvf78z8Q
u-OtHLldo1oGIGD5sqFMxb8Q	VISITED_ON	Quiet
u-Rg0sroYoSGcPh98VTuNwYA	REMINDED	u-3jKUxIVMNF-IRJfkjxjCFw
u-5SAuwOC7FX6dnlmgts_EoA	REMINDED	u-W2TQ6zJVEDtXtLLVbyY51A
Food	REMINDED	u-18qEoFOVEernpVLh97PQPQ
u-3kWltF8RUs05nzFp4nEwEg	FINISH	u-Vd6N3Dc9rtho-hOspaKQSg
u-xutCTgELDcrupc953xTB-w	FINISH	Charkha
r-UjhSrDj7A4j1fVeTwBvWxg	SERVED_ON	u-yw85-9lSB5H9jF8pBCA3XA
r-Ww2mLbVu63AaPRF_XKNojg	GETTING_FROM	r-46GrMV8DVHOaFONU5AYHBw
u-72binVGkuOlQ5VAF7fgeYA	REMINDED	r-N8wTZwJ48OMkhg2eONeSDQ
r-dkcgu0cstw04dC5Jva7RHw	PICKED	u-U5YQX_vMl_xQy8EQDqlNQQ
r-IK4fkc3WpwlC9euYatDcrw	FINISH	r-ucc1xn8yIe7jGpyHXFh0rA
u-pXZu2slCZS3BbFyG_UCG5Q	REMINDED	Charlotte
u-dx2ix1YxITAXjOen0GigPA	FINISH	r-KmxDwTRUqQonq6RCja06MA
b-qcqDjeirxvdgW5kQVkEwSA	REMINDED	Sambhar
r-WjQAmFICuNcC8SSJRQP24A	VISITED_ON	Payasam
r-DkN1L3EFmxW_0L7CeY1-fg	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-UzhdWes7u0FHJpXP-JuSPg	VISITED_ON	u-AOvL-UrNpwqxf9zBJ4mN_w
Egg_Rice	REMINDED	u-klb1-LsZlSlBEEjn2rNZcQ
u-jfaz1aQqnkbtzQfQyCE8IA	DROVE_FROM	u-XgmEAWKBxlQ3vetV5ZXeow
u-vMkEc_L7lMH-8DrVPM72rQ	GETTING_FROM	u-mRv0t_dmwWZzm0-gFBnRlA
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	u-aBjUd4riPiGBCGpWMCH7cw
u-Kp41QyEY4z9q48VdRPtdEg	PICKED	u-U5YQX_vMl_xQy8EQDqlNQQ
r-286WxNrQsUg32J9OJrxYBw	REMINDED	u-yYExRHYiXe23Pl1XNAxNGQ
u-z2YVGKKcup6mjQmDQ6arEg	SERVED_ON	r-JckCEB5nmwsYAe8_0lhtCA
Lena	CONVINCED_WITH	Nice
u-W7igKTvhP1eS2WwUhrBNOg	PICKED	u-z4SLb3j6NK9Otb0u7XKqdA
r-YO_HEj1RO9h7e86Lvjkkyg	REMINDED	r-sa3lC3SMJ0BrFMAD5AGNiA
Lamb_Pieces	VISITED_ON	u-pXZu2slCZS3BbFyG_UCG5Q
Lamb_Shank	PICKED	r-8S30fvkfEs5XWYJ5H3j3QA
r-7bueioTT2PJl0OzAQMFRvw	VISITED_ON	Porridge
u-BUezGOiuNFE10oQn4uKS8Q	PICKED	r-Dfik5OAyfqIX02bmhIJD1Q
u-Vlssq9KlNYZEr1YxL6VFFw	GETTING_FROM	b-qcqDjeirxvdgW5kQVkEwSA
Paramount	CATAPULTS_TO	u-jqp5BEMzEUIWTCt6pezS2Q
u-UTf4tyyn1SubhB3Eoqgcaw	RECOMMEND_FOR	r-Hb09_FIWLdMDpRBXeUHVuQ
r-GwupuCgwEl_KCnEp-AT7Xg	VISITED_ON	Lamb_Shank
r-VoHXbkFgC1pqekQ449mHUQ	GETTING_FROM	Buffets
r-4HUsvrISAQkRZHyPfo2t1g	SERVED_ON	Dirty
u-Ns138gV1CUF8ZF01hiJu_A	FINISH	u-Pp-v2RxM0TIXj1AMsThyVQ
r-C2Ez4PnM7_MAPJSKlPWrbw	GETTING_FROM	r-16EquhLtluC7UeZRWdxjiA
u-TwErSmI2nOF0UqXZ2tUDfQ	FINISH	r-pIzisgNYGo2r7emJVsKw9g
r-qR12edolsDJSiKFCKaYfcA	REMEMBER_FROM	r-ItOMYe2RoCkwtAwZT5d5OQ
u-DoY-DY1QlN-Sztkbs7UQzw	VISITED_ON	u-Rg0sroYoSGcPh98VTuNwYA
u-X9sQEge15Ud_UyEoIk-l3A	REMINDED	u-kQidzHaomuoW_xzIzKgleQ
u-q9ZzaDBNs72WXqKkwELBNA	FINISH	u-KpAsepiCArojuvCOt3Psvg
r-zEM5SNu4lLb8KiDso3XVYw	GETTING_FROM	Lamb_Shank
u-3zdB0SSrXIDIgsrOmhdUtQ	PICKED	r-eTrfrNVH-acY0VEOwY5P6g
r-UnGTo_QWIKqYsnqPtp4Lpg	GETTING_FROM	Quiet
r-LooWnLTEx-av_wT5QAmRyQ	VISITED_ON	r-JckCEB5nmwsYAe8_0lhtCA
u-r98FaAOAoJDCPp384XpcYA	REMEMBER_FROM	r-eTrfrNVH-acY0VEOwY5P6g
r-7i2euPSeUcRDrlkWITUzdQ	GETTING_FROM	Payasam
u-oTXacfmCLz9mev6KORIfEQ	FINISH	r-Ut47HbynvSPx6o4P-jhEmA
r-Yk-0gX4MzQUUqTru8m46GQ	GETTING_FROM	u-72binVGkuOlQ5VAF7fgeYA
u-aw1Qv3h6DkkaFka3xy-lWw	FINISH	u-Jwq_ZeNiVDwre459Qu85Hg
Terrific	CHICKEN	Sorry
r-JckCEB5nmwsYAe8_0lhtCA	REMINDED	r-VoKz_zuvzs_7o7KmDECCIQ
r-aW5GzJckqGjAi3D-BFBq9g	VISITED_ON	r-zerZabI-xjJAbX5YhrbIdA
u-UEYpGsvyWDRhxXuwUSvBvQ	FINISH	r-Qvyh1ObX431JUxKPwJBj-g
u-v-JBV4NOCQfUFLUa1GXSyA	FINISH	Neapoliton_Pizza
r-2UuzA6DzdVbqFQ5QiR__ZA	GETTING_FROM	u-kmC8nIGdQeLUOBCgRDzS8g
u-1mWIqaYBzZAoz9dElYm9dw	SERVED_ON	u-tRmW0n2d_Q4c_TXqfUSINA
r-FVjLCiC8-MApH42NDYiUWg	SERVED_ON	u-TotJG9Wuji9m5m3KhLWajQ
u-6zQLsnswBeHov55HmUWhrA	FINISH	r-yPKxNT3Pzd177yK1MRXb3Q
r-pB-eC9cvGuI-SqhLO625YQ	REMINDED	r-AhM3e5-PnsG9txqn2Gq3hw
u-yw85-9lSB5H9jF8pBCA3XA	REMINDED	u-Lmnl2fFVUeZE3QJwNr9-tg
u-4OY8QfPV1LR3ggNN4P51OA	REMINDED	u-q_4Q3Cpx9frUQ3vJMl53Nw
u-x_bHnIh87kEXYLh0T8u-aw	VISITED_ON	r-pB-eC9cvGuI-SqhLO625YQ
u-6n54T9Gr-wleIdzdN1QIxw	VISITED_ON	u-72binVGkuOlQ5VAF7fgeYA
r-aFPjqclPBIiTkyW1bYAjOA	PICKED	u-l8h64Isq64mh0IUIfmf09g
Tempe	VISITED_ON	u-mRv0t_dmwWZzm0-gFBnRlA
r-Rp9z_z-wu7oqL97azpLQzw	REMEMBER_FROM	r-YKyIqSgNfIykiFOzBgWvSQ
r-UPI1kdowVdk_wwR4Z8-wTA	REMINDED	u-7m1SEMQ0hIIY7YcuuclEHA
Pakora	VISITED_ON	r-Vjw4CEZpp6ZHCWAAUHAjqw
r-EZb00uKVLKTfDsJiqzJ6vA	FINISH	Chicken_Chettinad
u-UAULEDfAO5LMZh5l4bIVJw	REMINDED	r-HEB-Br3WkDOCQRTYBzyr6g
u-JFV3I5i3Bcoww7mAhRRIPA	FINISH	r-8HtWKXVQLH2x7Z3ds5PpWw
u-AayiOKLJ3u20zhOChF6RmA	PICKED	u-LyjEBN-9r5BLStzwBgIfXg
r-AJ7mJQo9tl0G3dwQeCla3g	VISITED_ON	u-jqp5BEMzEUIWTCt6pezS2Q
r-EVqIQfhKFC1zUsHon2XDHg	GETTING_FROM	u-O0evs8847ecEkeFMEuK4PA
r-A1X-BR01aZeUInSNYBj0QQ	FINISH	Chutney
r-QCxqiPHGiKTvBnjVCQcuqQ	DROVE_FROM	u-r3-LjnU8ABaDcbc7pHbj0w
r-L6dwdFGUvF8X3-gijKIAvQ	VISITED_ON	r-rMlElxVn8D5ZYa6z6GSv6A
u-x8GuHHp7EJylrrq9HqL0fA	REMINDED	r-NrmOX-4WHgtGfg3UhvEiHw
r-Y0ECu_eAJ6iXq6BI_Cb4UQ	DROVE_FROM	r-j3LumSrsgPBWdS67zf_n2w
u-7jL3l2fLoMIYPCBqhByagw	PICKED	r-7BEYqR-rrGUMRvVhf7fa1Q
Cheese	VISITED_ON	Terrific
r-nOLSYTNGBOhKQGQ30dNa-Q	FINISH	Achari_Chicken
u-r3-LjnU8ABaDcbc7pHbj0w	CATAPULTS_TO	b-qcqDjeirxvdgW5kQVkEwSA
r-UhfCeHWyHlMB2MZbEWrbGw	VISITED_ON	u-TotJG9Wuji9m5m3KhLWajQ
Masala_Bowl	VISITED_ON	Dirty
r-rQ_KDlzwDznVrxk5YnltBg	GETTING_FROM	r-buUZ8lssJrqB6TzyHNSlvQ
u-VZRxANvyTm2ixS6jYDGgEw	GETTING_FROM	u-l5_g5z9eOeXEMhA2x2lIog
u-ulM0B0JOkRDNLdZW3-rvFA	GETTING_FROM	r-XtMXDKsDQZlOVhxwOxTCBg
Delectable	FINISH	r-uJY5uhXIDEy-JnlQW0hvWg
u-gQC1yHLw8WYEWl2lhcTkdQ	VISITED_ON	u-Rg0sroYoSGcPh98VTuNwYA
u-D3fOi-5w4intrUTWXzIQew	FINISH	r-unmWLKCsAv1gEJ-4GIaSyg
u-6XM6NNpblve0ZBCUbdJi4Q	FINISH	Scotch_Eggs
u-x79m8IG90FAMLyv0f2jBeA	REMEMBER_FROM	r-fxrZVLHKDuEtCgk7bdEC9w
r-IsX2uIp6D1fpI5jQ6nv7RQ	LOOKED_LIKE	r-oOSvm0YlFq_uE0IiACmKkw
r-KahTZQL_KQAMDb05wVVLrw	FINISH	u-mOVyk3O18VY5nrUMTZgM1w
u-oVLfMJMXgqZBe8sMXySYHA	REMEMBER_FROM	r-CKBA_kAyb2bpHkTH0XAB3Q
u-KnkiyXZDt8hVdq_kw1iWuw	GETTING_FROM	u-AayiOKLJ3u20zhOChF6RmA
u--JSIfWqNjPZWc8bN2lhVmw	VISITED_ON	u-2K50D1mnCCO1sLcsABEQlw
u-BdP8xKV5PXqlkXR60OX5Cg	DROVE_FROM	r-pq8gAIl1sNwubxp9aU-fBw
r-qMXPW9dUvaoumWBZrFFE7w	CHICKEN	r-Y0ECu_eAJ6iXq6BI_Cb4UQ
r-vD9TVfFWxe4AebCcTGzZZg	GETTING_FROM	Lamb_Shank
r-PM6uT4B_txGwq81smwVypg	VISITED_ON	u-72binVGkuOlQ5VAF7fgeYA
r-kIVdLB56Q7caOLV_RR0pFQ	LOOKED_LIKE	Soft
u-vfQMFkLHSAQyYcjBQokAtQ	GETTING_FROM	r-LBMH067jwhB6opyW1rpauA
r-zerZabI-xjJAbX5YhrbIdA	REMINDED	r-vT9Yx0iT6TAMrUOeGwHl4w
b-qMw7mFHAjgG7qN82aXmeZg	REMEMBER_FROM	r-qpZ6oUWxZgiBuUAgnBoz0g
r-4_G8GoAtuY5jerLJeL8aAw	VISITED_ON	r-GQXZ_jZTd1Qwdj7opaYQyQ
r-VKuxE-N_DJvmy9Vw2rTyCw	CONVINCED_WITH	u-MtEFndVMz8Fy6Zi9unRjbQ
r-EJbxgmg4UGlZa_0t3HuTQQ	GETTING_FROM	r-46GrMV8DVHOaFONU5AYHBw
u-4jS_QEA1yOHaNvKPauqHbg	VISITED_ON	r-16EquhLtluC7UeZRWdxjiA
r-I0PZyMgHIR5RIjfi-6R18w	GETTING_FROM	Lamb_Shank
u-kgRTizyE1oY441S8gn_eZw	GETTING_FROM	r-0-stf0NJOCI4SvVG86gqYQ
r-NRhQzUjJyA8aqKAlFWZWmg	REMEMBER_FROM	u-j8wdGuvtq29p5wC_A_0q1w
Vada_Sambhar	CATAPULTS_TO	u-7jL3l2fLoMIYPCBqhByagw
u-mRv0t_dmwWZzm0-gFBnRlA	PICKED	r-DkN1L3EFmxW_0L7CeY1-fg
r-vGXHS-vAaufHpzeUelh4xA	SERVED_ON	Medu_Wada
u-X9sQEge15Ud_UyEoIk-l3A	PICKED	u-U5-XcYzu0HD7bDMoTInlYw
r-oA4s32DUJJ0V1Qi5YCUFlA	VISITED_ON	u-7jL3l2fLoMIYPCBqhByagw
u-ACxJcxfJyAiEqMvOlx1EYQ	CATAPULTS_TO	u-0LUt7xSvYgLpL0zBezI5QA
u-uV-Q2ArVcK2BfiQgdQOebA	FINISH	r-towc6gCCj4zoT9caCYj5ew
r-tIvX9cWmfeaJxATIDb-aSw	VISITED_ON	r-IsX2uIp6D1fpI5jQ6nv7RQ
North_Olmsted-United_States	GETTING_FROM	r-GQXZ_jZTd1Qwdj7opaYQyQ
u--d2daWmftYumOaYpbD5D8Q	CATAPULTS_TO	r-dkcgu0cstw04dC5Jva7RHw
Rough	GETTING_FROM	u-Kp41QyEY4z9q48VdRPtdEg
r-LclddwavTwdTwxCgSfmNGg	FINISH	r-ov3uiS-323WK0qWl1_WeoA
r-4ITfcZwEh5XET7CDinBxrg	WENT_TO	r-46GrMV8DVHOaFONU5AYHBw
u-jqp5BEMzEUIWTCt6pezS2Q	REMINDED	u-33v8c5ftrKuDGTw1ZQ2toQ
